Country,Year,Energy efficiency
Finland,2015,31.19
France,2015,244.35
Georgia,2015,4.43
Croatia,2015,7.96
Hungary,2015,23.3
Ireland,2015,13.96
Iceland,2015,5.8
Italy,2015,149.12
Lithuania,2015,5.79
Luxembourg,2015,4.14
Latvia,2015,4.27
Moldova,2015,2.57
Montenegro,2015,0.99
North Macedonia,2015,2.59
Malta,2015,0.75
Netherlands,2015,63.9
Norway,2015,27.04
Poland,2015,90.05
Portugal,2015,21.65
Romania,2015,30.75
Serbia,2015,14.21
Sweden,2015,43.84
Slovenia,2015,6.34
Slovakia,2015,15.22
Turkey,2015,125.36
Ukraine,2015,88.93
United Kingdom,2015,182.47
Kosovo,2015,2.48
Albania,2016,2.17
Austria,2016,32.04
Bosnia and Herzegovina,2016,6.69
Belgium,2016,49.15
Bulgaria,2016,17.67
Cyprus,2016,2.43
Czechia,2016,39.74
Germany,2016,297.63
Denmark,2016,17.34
Euro area - 19 countries (from 2015),2016,1087.48
Estonia,2016,5.9
Greece,2016,23.06
Spain,2016,118.73
European Union - 27 countries (from 2020),2016,1364.76
European Union - 28 countries (2013-2020),2016,1544.2
Finland,2016,32.22
France,2016,239.95
Georgia,2016,4.62
Croatia,2016,8.05
Hungary,2016,23.65
Ireland,2016,14.64
Iceland,2016,5.49
Italy,2016,147.97
Lithuania,2016,6.04
Luxembourg,2016,4.15
Latvia,2016,4.29
Moldova,2016,2.67
Montenegro,2016,0.95
North Macedonia,2016,2.56
Malta,2016,0.71
Netherlands,2016,64.89
Norway,2016,26.08
Poland,2016,94.83
Portugal,2016,21.77
Romania,2016,30.65
Serbia,2016,14.58
Sweden,2016,45.35
Slovenia,2016,6.55
Slovakia,2016,15.37
Turkey,2016,131.54
Ukraine,2016,90.84
United Kingdom,2016,179.44
Kosovo,2016,2.66
Albania,2017,2.33
Austria,2017,32.81
Bosnia and Herzegovina,2017,6.69
Belgium,2017,49.14
Bulgaria,2017,18.32
Cyprus,2017,2.53
Czechia,2017,40.35
Germany,2017,298.12
Denmark,2017,17.42
Euro area - 19 countries (from 2015),2017,1097.75
Estonia,2017,5.65
Greece,2017,23.24
Spain,2017,125.22
European Union - 27 countries (from 2020),2017,1384.55
European Union - 28 countries (2013-2020),2017,1561.82
Finland,2017,32.09
France,2017,239.22
Georgia,2017,4.67
Croatia,2017,8.33
Hungary,2017,24.46
Ireland,2017,14.45
Iceland,2017,5.84
Italy,2017,148.95
Lithuania,2017,6.16
Luxembourg,2017,4.29
Latvia,2017,4.47
Moldova,2017,2.81
Montenegro,2017,0.99
North Macedonia,2017,2.67
Malta,2017,0.81
Netherlands,2017,64.92
Norway,2017,27.24
Poland,2017,99.1
Portugal,2017,22.82
Romania,2017,32.46
Serbia,2017,14.89
Sweden,2017,46.35
Slovenia,2017,6.73
Slovakia,2017,16.15
Turkey,2017,145.52
Ukraine,2017,86.7
United Kingdom,2017,177.27
Kosovo,2017,2.53
Albania,2018,2.34
Austria,2018,31.8
Bosnia and Herzegovina,2018,7.38
Belgium,2018,46.93
Bulgaria,2018,18.37
Cyprus,2018,2.55
Czechia,2018,40.39
Germany,2018,292.15
Denmark,2018,17.4
Euro area - 19 countries (from 2015),2018,1085.94
Estonia,2018,6.06
Greece,2018,22.59
Spain,2018,124.59
European Union - 27 countries (from 2020),2018,1375.58
European Union - 28 countries (2013-2020),2018,1552.8
Finland,2018,32.74
France,2018,238.94
Georgia,2018,4.61
Croatia,2018,8.18
Hungary,2018,24.48
Ireland,2018,14.67
Iceland,2018,6.4
Italy,2018,147.24
Lithuania,2018,6.37
Luxembourg,2018,4.46
Latvia,2018,4.69
Moldova,2018,2.94
Montenegro,2018,1.04
North Macedonia,2018,2.52
Malta,2018,0.82
Netherlands,2018,64.23
Norway,2018,27.54
Poland,2018,101.0
Portugal,2018,22.65
Romania,2018,32.57
Serbia,2018,14.79
Sweden,2018,47.25
Slovenia,2018,6.65
Slovakia,2018,15.79
Turkey,2018,143.41
Ukraine,2018,90.69
United Kingdom,2018,177.22
Kosovo,2018,2.54
Albania,2019,
Austria,2019,32.2
Bosnia and Herzegovina,2019,
Belgium,2019,49.11
Bulgaria,2019,18.22
Cyprus,2019,2.54
Czechia,2019,40.11
Germany,2019,282.71
Denmark,2019,16.83
Euro area - 19 countries (from 2015),2019,1068.42
Estonia,2019,4.71
Greece,2019,24.26
Spain,2019,120.75
European Union - 27 countries (from 2020),2019,1351.93
European Union - 28 countries (2013-2020),2019,1526.12
Finland,2019,32.06
France,2019,235.26
Georgia,2019,4.79
Croatia,2019,8.21
Hungary,2019,24.57
Ireland,2019,14.66
Iceland,2019,6.2
Italy,2019,145.89
Lithuania,2019,6.28
Luxembourg,2019,4.5
Latvia,2019,4.56
Moldova,2019,
Montenegro,2019,
North Macedonia,2019,
Malta,2019,0.87
Netherlands,2019,63.46
Norway,2019,25.25
Poland,2019,98.13
Portugal,2019,22.08
Romania,2019,31.97
Serbia,2019,14.72
Sweden,2019,45.78
Slovenia,2019,6.52
Slovakia,2019,15.98
Turkey,2019,
Ukraine,2019,
United Kingdom,2019,174.18
Kosovo,2019,2.59
