Country,Sector,Type,Year,Pollution
Spain,Refrigeration and air conditioning,Nitrogen trifluoride (CO2 equivalent) ,1995,0.0
Finland,Refrigeration and air conditioning,Nitrogen trifluoride (CO2 equivalent) ,1995,0.0
Hungary,Refrigeration and air conditioning,Nitrogen trifluoride (CO2 equivalent) ,1995,0.0
Ireland,Refrigeration and air conditioning,Nitrogen trifluoride (CO2 equivalent) ,1995,0.0
Lithuania,Refrigeration and air conditioning,Nitrogen trifluoride (CO2 equivalent) ,1995,0.0
Romania,Refrigeration and air conditioning,Nitrogen trifluoride (CO2 equivalent) ,1995,0.0
Sweden,Refrigeration and air conditioning,Nitrogen trifluoride (CO2 equivalent) ,1995,0.0
Slovakia,Refrigeration and air conditioning,Nitrogen trifluoride (CO2 equivalent) ,1995,0.0
United Kingdom,Refrigeration and air conditioning,Nitrogen trifluoride (CO2 equivalent) ,1995,0.0
Austria,Total,Nitrogen trifluoride (CO2 equivalent) ,1995,6.44
Belgium,Total,Nitrogen trifluoride (CO2 equivalent) ,1995,
Switzerland,Total,Nitrogen trifluoride (CO2 equivalent) ,1995,
Czechia,Total,Nitrogen trifluoride (CO2 equivalent) ,1995,
Germany,Total,Nitrogen trifluoride (CO2 equivalent) ,1995,5.29
European Union - 27 countries (from 2020),Total,Nitrogen trifluoride (CO2 equivalent) ,1995,98.94
European Union - 28 countries (2013-2020),Total,Nitrogen trifluoride (CO2 equivalent) ,1995,99.77
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,Total,Nitrogen trifluoride (CO2 equivalent) ,1995,99.77
France,Total,Nitrogen trifluoride (CO2 equivalent) ,1995,6.26
Ireland,Total,Nitrogen trifluoride (CO2 equivalent) ,1995,4.37
Italy,Total,Nitrogen trifluoride (CO2 equivalent) ,1995,76.57
Lithuania,Total,Nitrogen trifluoride (CO2 equivalent) ,1995,
United Kingdom,Total,Nitrogen trifluoride (CO2 equivalent) ,1995,0.83
Austria,Refrigeration and air conditioning,Perfluorocarbones (CO2 equivalent),1995,
Belgium,Refrigeration and air conditioning,Perfluorocarbones (CO2 equivalent),1995,0.0
Bulgaria,Refrigeration and air conditioning,Perfluorocarbones (CO2 equivalent),1995,0.0
Switzerland,Refrigeration and air conditioning,Perfluorocarbones (CO2 equivalent),1995,2.39
Czechia,Refrigeration and air conditioning,Perfluorocarbones (CO2 equivalent),1995,0.0
Germany,Refrigeration and air conditioning,Perfluorocarbones (CO2 equivalent),1995,19.91
Denmark,Refrigeration and air conditioning,Perfluorocarbones (CO2 equivalent),1995,0.63
Greece,Refrigeration and air conditioning,Perfluorocarbones (CO2 equivalent),1995,0.0
Spain,Refrigeration and air conditioning,Perfluorocarbones (CO2 equivalent),1995,0.0
European Union - 27 countries (from 2020),Refrigeration and air conditioning,Perfluorocarbones (CO2 equivalent),1995,22.04
European Union - 28 countries (2013-2020),Refrigeration and air conditioning,Perfluorocarbones (CO2 equivalent),1995,22.04
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,Refrigeration and air conditioning,Perfluorocarbones (CO2 equivalent),1995,22.04
Finland,Refrigeration and air conditioning,Perfluorocarbones (CO2 equivalent),1995,1.13
Croatia,Refrigeration and air conditioning,Perfluorocarbones (CO2 equivalent),1995,0.0
Hungary,Refrigeration and air conditioning,Perfluorocarbones (CO2 equivalent),1995,0.0
Ireland,Refrigeration and air conditioning,Perfluorocarbones (CO2 equivalent),1995,0.0
Iceland,Refrigeration and air conditioning,Perfluorocarbones (CO2 equivalent),1995,0.0
Lithuania,Refrigeration and air conditioning,Perfluorocarbones (CO2 equivalent),1995,0.0
Malta,Refrigeration and air conditioning,Perfluorocarbones (CO2 equivalent),1995,0.0
Norway,Refrigeration and air conditioning,Perfluorocarbones (CO2 equivalent),1995,0.0
Portugal,Refrigeration and air conditioning,Perfluorocarbones (CO2 equivalent),1995,0.0
Romania,Refrigeration and air conditioning,Perfluorocarbones (CO2 equivalent),1995,0.0
Sweden,Refrigeration and air conditioning,Perfluorocarbones (CO2 equivalent),1995,0.37
Slovakia,Refrigeration and air conditioning,Perfluorocarbones (CO2 equivalent),1995,0.0
United Kingdom,Refrigeration and air conditioning,Perfluorocarbones (CO2 equivalent),1995,0.0
Austria,Total,Perfluorocarbones (CO2 equivalent),1995,83.35
Belgium,Total,Perfluorocarbones (CO2 equivalent),1995,2914.29
Bulgaria,Total,Perfluorocarbones (CO2 equivalent),1995,
Switzerland,Total,Perfluorocarbones (CO2 equivalent),1995,17.48
Czechia,Total,Perfluorocarbones (CO2 equivalent),1995,0.01
Germany,Total,Perfluorocarbones (CO2 equivalent),1995,2085.72
Denmark,Total,Perfluorocarbones (CO2 equivalent),1995,0.63
Estonia,Total,Perfluorocarbones (CO2 equivalent),1995,
Greece,Total,Perfluorocarbones (CO2 equivalent),1995,62.85
Spain,Total,Perfluorocarbones (CO2 equivalent),1995,1055.21
European Union - 27 countries (from 2020),Total,Perfluorocarbones (CO2 equivalent),1995,16679.9
European Union - 28 countries (2013-2020),Total,Perfluorocarbones (CO2 equivalent),1995,17276.66
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,Total,Perfluorocarbones (CO2 equivalent),1995,17346.02
Finland,Total,Perfluorocarbones (CO2 equivalent),1995,1.54
France,Total,Perfluorocarbones (CO2 equivalent),1995,3064.56
Croatia,Total,Perfluorocarbones (CO2 equivalent),1995,
Hungary,Total,Perfluorocarbones (CO2 equivalent),1995,222.72
Ireland,Total,Perfluorocarbones (CO2 equivalent),1995,97.61
Iceland,Total,Perfluorocarbones (CO2 equivalent),1995,69.36
Italy,Total,Perfluorocarbones (CO2 equivalent),1995,1492.31
Netherlands,Total,Perfluorocarbones (CO2 equivalent),1995,2279.92
Norway,Total,Perfluorocarbones (CO2 equivalent),1995,2314.05
Poland,Total,Perfluorocarbones (CO2 equivalent),1995,171.97
Portugal,Total,Perfluorocarbones (CO2 equivalent),1995,
Romania,Total,Perfluorocarbones (CO2 equivalent),1995,2354.07
Sweden,Total,Perfluorocarbones (CO2 equivalent),1995,532.35
Slovenia,Total,Perfluorocarbones (CO2 equivalent),1995,128.14
Slovakia,Total,Perfluorocarbones (CO2 equivalent),1995,132.65
Turkey,Total,Perfluorocarbones (CO2 equivalent),1995,611.44
United Kingdom,Total,Perfluorocarbones (CO2 equivalent),1995,596.76
Denmark,Refrigeration and air conditioning,Sulphur hexafluoride (CO2 equivalent),1995,0.0
Spain,Refrigeration and air conditioning,Sulphur hexafluoride (CO2 equivalent),1995,0.0
Finland,Refrigeration and air conditioning,Sulphur hexafluoride (CO2 equivalent),1995,0.0
Hungary,Refrigeration and air conditioning,Sulphur hexafluoride (CO2 equivalent),1995,0.0
Ireland,Refrigeration and air conditioning,Sulphur hexafluoride (CO2 equivalent),1995,0.0
Lithuania,Refrigeration and air conditioning,Sulphur hexafluoride (CO2 equivalent),1995,0.0
Romania,Refrigeration and air conditioning,Sulphur hexafluoride (CO2 equivalent),1995,0.0
Slovakia,Refrigeration and air conditioning,Sulphur hexafluoride (CO2 equivalent),1995,0.0
United Kingdom,Refrigeration and air conditioning,Sulphur hexafluoride (CO2 equivalent),1995,0.0
Austria,Total,Sulphur hexafluoride (CO2 equivalent),1995,1100.11
Belgium,Total,Sulphur hexafluoride (CO2 equivalent),1995,2140.0
Bulgaria,Total,Sulphur hexafluoride (CO2 equivalent),1995,4.9
Switzerland,Total,Sulphur hexafluoride (CO2 equivalent),1995,93.21
Cyprus,Total,Sulphur hexafluoride (CO2 equivalent),1995,5.75
Czechia,Total,Sulphur hexafluoride (CO2 equivalent),1995,88.68
Germany,Total,Sulphur hexafluoride (CO2 equivalent),1995,6467.15
Denmark,Total,Sulphur hexafluoride (CO2 equivalent),1995,103.76
Estonia,Total,Sulphur hexafluoride (CO2 equivalent),1995,3.07
Greece,Total,Sulphur hexafluoride (CO2 equivalent),1995,3.42
Spain,Total,Sulphur hexafluoride (CO2 equivalent),1995,99.81
European Union - 27 countries (from 2020),Total,Sulphur hexafluoride (CO2 equivalent),1995,13807.1
European Union - 28 countries (2013-2020),Total,Sulphur hexafluoride (CO2 equivalent),1995,15120.89
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,Total,Sulphur hexafluoride (CO2 equivalent),1995,15122.13
Finland,Total,Sulphur hexafluoride (CO2 equivalent),1995,36.98
France,Total,Sulphur hexafluoride (CO2 equivalent),1995,2466.6
Croatia,Total,Sulphur hexafluoride (CO2 equivalent),1995,11.12
Hungary,Total,Sulphur hexafluoride (CO2 equivalent),1995,51.05
Ireland,Total,Sulphur hexafluoride (CO2 equivalent),1995,79.11
Iceland,Total,Sulphur hexafluoride (CO2 equivalent),1995,1.24
Italy,Total,Sulphur hexafluoride (CO2 equivalent),1995,679.72
Lithuania,Total,Sulphur hexafluoride (CO2 equivalent),1995,0.05
Luxembourg,Total,Sulphur hexafluoride (CO2 equivalent),1995,1.75
Latvia,Total,Sulphur hexafluoride (CO2 equivalent),1995,0.17
Malta,Total,Sulphur hexafluoride (CO2 equivalent),1995,1.44
Netherlands,Total,Sulphur hexafluoride (CO2 equivalent),1995,260.97
Norway,Total,Sulphur hexafluoride (CO2 equivalent),1995,579.82
Poland,Total,Sulphur hexafluoride (CO2 equivalent),1995,29.12
Portugal,Total,Sulphur hexafluoride (CO2 equivalent),1995,13.93
Romania,Total,Sulphur hexafluoride (CO2 equivalent),1995,0.98
Sweden,Total,Sulphur hexafluoride (CO2 equivalent),1995,135.19
Slovenia,Total,Sulphur hexafluoride (CO2 equivalent),1995,12.13
Slovakia,Total,Sulphur hexafluoride (CO2 equivalent),1995,10.15
Turkey,Total,Sulphur hexafluoride (CO2 equivalent),1995,
United Kingdom,Total,Sulphur hexafluoride (CO2 equivalent),1995,1313.79
Austria,Fuel combustion in transport,Cardbon dioxide,1996,1.77
Belgium,Fuel combustion in transport,Cardbon dioxide,1996,4.7
Bulgaria,Fuel combustion in transport,Cardbon dioxide,1996,1.71
Switzerland,Fuel combustion in transport,Cardbon dioxide,1996,2.58
Cyprus,Fuel combustion in transport,Cardbon dioxide,1996,0.26
Czechia,Fuel combustion in transport,Cardbon dioxide,1996,3.28
Germany,Fuel combustion in transport,Cardbon dioxide,1996,29.09
Denmark,Fuel combustion in transport,Cardbon dioxide,1996,2.86
Estonia,Fuel combustion in transport,Cardbon dioxide,1996,0.52
Greece,Fuel combustion in transport,Cardbon dioxide,1996,4.52
Spain,Fuel combustion in transport,Cardbon dioxide,1996,15.62
European Union - 27 countries (from 2020),Fuel combustion in transport,Cardbon dioxide,1996,172.49
European Union - 28 countries (2013-2020),Fuel combustion in transport,Cardbon dioxide,1996,207.89
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,Fuel combustion in transport,Cardbon dioxide,1996,208.36
Finland,Fuel combustion in transport,Cardbon dioxide,1996,3.36
France,Fuel combustion in transport,Cardbon dioxide,1996,29.28
Croatia,Fuel combustion in transport,Cardbon dioxide,1996,1.36
Hungary,Fuel combustion in transport,Cardbon dioxide,1996,2.13
Ireland,Fuel combustion in transport,Cardbon dioxide,1996,1.89
Iceland,Fuel combustion in transport,Cardbon dioxide,1996,0.19
Italy,Fuel combustion in transport,Cardbon dioxide,1996,39.7
Lithuania,Fuel combustion in transport,Cardbon dioxide,1996,1.06
Luxembourg,Fuel combustion in transport,Cardbon dioxide,1996,0.3
Latvia,Fuel combustion in transport,Cardbon dioxide,1996,0.52
Malta,Fuel combustion in transport,Cardbon dioxide,1996,0.14
Netherlands,Fuel combustion in transport,Cardbon dioxide,1996,5.31
Norway,Fuel combustion in transport,Cardbon dioxide,1996,2.71
Poland,Fuel combustion in transport,Cardbon dioxide,1996,8.66
Portugal,Fuel combustion in transport,Cardbon dioxide,1996,4.04
Romania,Fuel combustion in transport,Cardbon dioxide,1996,2.75
Sweden,Fuel combustion in transport,Cardbon dioxide,1996,5.14
Slovenia,Fuel combustion in transport,Cardbon dioxide,1996,1.34
Slovakia,Fuel combustion in transport,Cardbon dioxide,1996,1.22
Turkey,Fuel combustion in transport,Cardbon dioxide,1996,5.86
United Kingdom,Fuel combustion in transport,Cardbon dioxide,1996,35.4
Austria,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,1.78
Belgium,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,0.41
Bulgaria,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,0.11
Switzerland,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,0.3
Cyprus,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,0.01
Czechia,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,1.0
Germany,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,2.4
Denmark,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,2.29
Estonia,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,0.09
Greece,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,0.37
Spain,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,0.76
European Union - 27 countries (from 2020),"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,52.48
European Union - 28 countries (2013-2020),"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,52.99
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,53.09
Finland,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,0.23
France,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,0.89
Croatia,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,0.05
Hungary,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,1.07
Ireland,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,0.06
Iceland,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,0.09
Italy,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,0.95
Lithuania,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,0.14
Luxembourg,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,0.01
Latvia,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,0.24
Malta,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,0.0
Netherlands,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,12.72
Norway,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,0.1
Poland,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,26.14
Portugal,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,0.07
Romania,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,0.37
Sweden,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,0.17
Slovenia,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,0.03
Slovakia,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,0.11
Turkey,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,0.44
United Kingdom,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1996,0.51
Austria,Agriculture,Cardbon dioxide,1996,202.67
Belgium,Agriculture,Cardbon dioxide,1996,241.42
Bulgaria,Agriculture,Cardbon dioxide,1996,106.26
Switzerland,Agriculture,Cardbon dioxide,1996,167.68
Cyprus,Agriculture,Cardbon dioxide,1996,13.05
Czechia,Agriculture,Cardbon dioxide,1996,188.69
Germany,Agriculture,Cardbon dioxide,1996,1415.41
Denmark,Agriculture,Cardbon dioxide,1996,245.39
Estonia,Agriculture,Cardbon dioxide,1996,26.9
Greece,Agriculture,Cardbon dioxide,1996,197.35
Spain,Agriculture,Cardbon dioxide,1996,947.2
European Union - 27 countries (from 2020),Agriculture,Cardbon dioxide,1996,9184.58
European Union - 28 countries (2013-2020),Agriculture,Cardbon dioxide,1996,10350.77
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,Agriculture,Cardbon dioxide,1996,10375.65
Finland,Agriculture,Cardbon dioxide,1996,102.5
France,Agriculture,Cardbon dioxide,1996,1641.92
Croatia,Agriculture,Cardbon dioxide,1996,64.33
Hungary,Agriculture,Cardbon dioxide,1996,117.15
Ireland,Agriculture,Cardbon dioxide,1996,515.88
Iceland,Agriculture,Cardbon dioxide,1996,14.57
Italy,Agriculture,Cardbon dioxide,1996,881.93
Lithuania,Agriculture,Cardbon dioxide,1996,98.6
Luxembourg,Agriculture,Cardbon dioxide,1996,18.15
Latvia,Agriculture,Cardbon dioxide,1996,41.14
Malta,Agriculture,Cardbon dioxide,1996,2.54
Netherlands,Agriculture,Cardbon dioxide,1996,543.46
Norway,Agriculture,Cardbon dioxide,1996,110.98
Poland,Agriculture,Cardbon dioxide,1996,618.01
Portugal,Agriculture,Cardbon dioxide,1996,183.09
Romania,Agriculture,Cardbon dioxide,1996,500.19
Sweden,Agriculture,Cardbon dioxide,1996,148.05
Slovenia,Agriculture,Cardbon dioxide,1996,45.9
Slovakia,Agriculture,Cardbon dioxide,1996,77.4
Turkey,Agriculture,Cardbon dioxide,1996,989.39
United Kingdom,Agriculture,Cardbon dioxide,1996,1166.19
Austria,Total,Cardbon dioxide,1996,370.13
Belgium,Total,Cardbon dioxide,1996,448.15
Bulgaria,Total,Cardbon dioxide,1996,400.87
Switzerland,Total,Cardbon dioxide,1996,221.94
Cyprus,Total,Cardbon dioxide,1996,30.65
Czechia,Total,Cardbon dioxide,1996,716.85
Germany,Total,Cardbon dioxide,1996,4102.63
Denmark,Total,Cardbon dioxide,1996,346.73
Estonia,Total,Cardbon dioxide,1996,54.13
Greece,Total,Cardbon dioxide,1996,464.85
Spain,Total,Cardbon dioxide,1996,1569.89
European Union - 27 countries (from 2020),Total,Cardbon dioxide,1996,21483.39
European Union - 28 countries (2013-2020),Total,Cardbon dioxide,1996,26561.27
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,Total,Cardbon dioxide,1996,26742.21
Finland,Total,Cardbon dioxide,1996,351.73
France,Total,Cardbon dioxide,1996,2898.09
Croatia,Total,Cardbon dioxide,1996,133.5
Hungary,Total,Cardbon dioxide,1996,435.46
Ireland,Total,Cardbon dioxide,1996,615.11
Iceland,Total,Cardbon dioxide,1996,164.76
Italy,Total,Cardbon dioxide,1996,2087.57
Lithuania,Total,Cardbon dioxide,1996,173.03
Luxembourg,Total,Cardbon dioxide,1996,23.94
Latvia,Total,Cardbon dioxide,1996,107.98
Malta,Total,Cardbon dioxide,1996,6.64
Netherlands,Total,Cardbon dioxide,1996,1157.36
Norway,Total,Cardbon dioxide,1996,256.0
Poland,Total,Cardbon dioxide,1996,2284.27
Portugal,Total,Cardbon dioxide,1996,419.37
Romania,Total,Cardbon dioxide,1996,1657.08
Sweden,Total,Cardbon dioxide,1996,313.84
Slovenia,Total,Cardbon dioxide,1996,93.03
Slovakia,Total,Cardbon dioxide,1996,220.49
Turkey,Total,Cardbon dioxide,1996,1722.22
United Kingdom,Total,Cardbon dioxide,1996,5077.88
Austria,Fuel combustion in transport,Methane,1996,44.34
Belgium,Fuel combustion in transport,Methane,1996,117.6
Bulgaria,Fuel combustion in transport,Methane,1996,42.87
Switzerland,Fuel combustion in transport,Methane,1996,64.58
Cyprus,Fuel combustion in transport,Methane,1996,6.38
Czechia,Fuel combustion in transport,Methane,1996,81.96
Germany,Fuel combustion in transport,Methane,1996,727.3
Denmark,Fuel combustion in transport,Methane,1996,71.38
Estonia,Fuel combustion in transport,Methane,1996,13.0
Greece,Fuel combustion in transport,Methane,1996,112.92
Spain,Fuel combustion in transport,Methane,1996,390.53
European Union - 27 countries (from 2020),Fuel combustion in transport,Methane,1996,4312.34
European Union - 28 countries (2013-2020),Fuel combustion in transport,Methane,1996,5197.24
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,Fuel combustion in transport,Methane,1996,5209.06
Finland,Fuel combustion in transport,Methane,1996,83.89
France,Fuel combustion in transport,Methane,1996,731.89
Croatia,Fuel combustion in transport,Methane,1996,34.03
Hungary,Fuel combustion in transport,Methane,1996,53.19
Ireland,Fuel combustion in transport,Methane,1996,47.29
Iceland,Fuel combustion in transport,Methane,1996,4.84
Italy,Fuel combustion in transport,Methane,1996,992.38
Lithuania,Fuel combustion in transport,Methane,1996,26.38
Luxembourg,Fuel combustion in transport,Methane,1996,7.4
Latvia,Fuel combustion in transport,Methane,1996,13.02
Malta,Fuel combustion in transport,Methane,1996,3.48
Netherlands,Fuel combustion in transport,Methane,1996,132.76
Norway,Fuel combustion in transport,Methane,1996,67.78
Poland,Fuel combustion in transport,Methane,1996,216.41
Portugal,Fuel combustion in transport,Methane,1996,100.89
Romania,Fuel combustion in transport,Methane,1996,68.69
Sweden,Fuel combustion in transport,Methane,1996,128.52
Slovenia,Fuel combustion in transport,Methane,1996,33.45
Slovakia,Fuel combustion in transport,Methane,1996,30.38
Turkey,Fuel combustion in transport,Methane,1996,146.42
United Kingdom,Fuel combustion in transport,Methane,1996,884.9
Austria,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,44.52
Belgium,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,10.34
Bulgaria,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,2.81
Switzerland,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,7.58
Cyprus,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,0.33
Czechia,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,24.91
Germany,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,60.1
Denmark,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,57.37
Estonia,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,2.35
Greece,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,9.3
Spain,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,19.07
European Union - 27 countries (from 2020),"Fuel combustion in agriculture, forestry and fishing",Methane,1996,1312.06
European Union - 28 countries (2013-2020),"Fuel combustion in agriculture, forestry and fishing",Methane,1996,1324.86
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,1327.15
Finland,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,5.65
France,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,22.32
Croatia,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,1.14
Hungary,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,26.65
Ireland,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,1.5
Iceland,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,2.2
Italy,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,23.87
Lithuania,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,3.52
Luxembourg,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,0.14
Latvia,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,5.93
Malta,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,0.03
Netherlands,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,318.07
Norway,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,2.61
Poland,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,653.38
Portugal,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,1.73
Romania,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,9.3
Sweden,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,4.32
Slovenia,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,0.69
Slovakia,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,2.71
Turkey,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,11.11
United Kingdom,"Fuel combustion in agriculture, forestry and fishing",Methane,1996,12.8
Austria,Agriculture,Methane,1996,5066.67
Belgium,Agriculture,Methane,1996,6035.43
Bulgaria,Agriculture,Methane,1996,2656.62
Switzerland,Agriculture,Methane,1996,4192.0
Cyprus,Agriculture,Methane,1996,326.26
Czechia,Agriculture,Methane,1996,4717.26
Germany,Agriculture,Methane,1996,35385.27
Denmark,Agriculture,Methane,1996,6134.77
Estonia,Agriculture,Methane,1996,672.41
Greece,Agriculture,Methane,1996,4933.79
Spain,Agriculture,Methane,1996,23680.11
European Union - 27 countries (from 2020),Agriculture,Methane,1996,229614.41
European Union - 28 countries (2013-2020),Agriculture,Methane,1996,258769.2
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,Agriculture,Methane,1996,259391.34
Finland,Agriculture,Methane,1996,2562.52
France,Agriculture,Methane,1996,41048.02
Croatia,Agriculture,Methane,1996,1608.31
Hungary,Agriculture,Methane,1996,2928.69
Ireland,Agriculture,Methane,1996,12897.0
Iceland,Agriculture,Methane,1996,364.24
Italy,Agriculture,Methane,1996,22048.22
Lithuania,Agriculture,Methane,1996,2465.0
Luxembourg,Agriculture,Methane,1996,453.76
Latvia,Agriculture,Methane,1996,1028.43
Malta,Agriculture,Methane,1996,63.44
Netherlands,Agriculture,Methane,1996,13586.43
Norway,Agriculture,Methane,1996,2774.38
Poland,Agriculture,Methane,1996,15450.16
Portugal,Agriculture,Methane,1996,4577.13
Romania,Agriculture,Methane,1996,12504.81
Sweden,Agriculture,Methane,1996,3701.36
Slovenia,Agriculture,Methane,1996,1147.47
Slovakia,Agriculture,Methane,1996,1935.08
Turkey,Agriculture,Methane,1996,24734.85
United Kingdom,Agriculture,Methane,1996,29154.78
Austria,Total,Methane,1996,9253.31
Belgium,Total,Methane,1996,11203.83
Bulgaria,Total,Methane,1996,10021.82
Switzerland,Total,Methane,1996,5548.44
Cyprus,Total,Methane,1996,766.3
Czechia,Total,Methane,1996,17921.29
Germany,Total,Methane,1996,102565.63
Denmark,Total,Methane,1996,8668.34
Estonia,Total,Methane,1996,1353.24
Greece,Total,Methane,1996,11621.37
Spain,Total,Methane,1996,39247.24
European Union - 27 countries (from 2020),Total,Methane,1996,537084.87
European Union - 28 countries (2013-2020),Total,Methane,1996,664031.76
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,Total,Methane,1996,668555.14
Finland,Total,Methane,1996,8793.34
France,Total,Methane,1996,72452.24
Croatia,Total,Methane,1996,3337.62
Hungary,Total,Methane,1996,10886.54
Ireland,Total,Methane,1996,15377.77
Iceland,Total,Methane,1996,4118.98
Italy,Total,Methane,1996,52189.22
Lithuania,Total,Methane,1996,4325.75
Luxembourg,Total,Methane,1996,598.55
Latvia,Total,Methane,1996,2699.55
Malta,Total,Methane,1996,166.08
Netherlands,Total,Methane,1996,28934.1
Norway,Total,Methane,1996,6400.08
Poland,Total,Methane,1996,57106.67
Portugal,Total,Methane,1996,10484.27
Romania,Total,Methane,1996,41426.97
Sweden,Total,Methane,1996,7845.89
Slovenia,Total,Methane,1996,2325.72
Slovakia,Total,Methane,1996,5512.23
Turkey,Total,Methane,1996,43055.61
United Kingdom,Total,Methane,1996,126946.89
Austria,Fuel combustion in transport,Methane (CO2 equivalent),1996,17217.43
Belgium,Fuel combustion in transport,Methane (CO2 equivalent),1996,23028.61
Bulgaria,Fuel combustion in transport,Methane (CO2 equivalent),1996,4136.05
Switzerland,Fuel combustion in transport,Methane (CO2 equivalent),1996,14056.18
Cyprus,Fuel combustion in transport,Methane (CO2 equivalent),1996,1566.93
Czechia,Fuel combustion in transport,Methane (CO2 equivalent),1996,10378.38
Germany,Fuel combustion in transport,Methane (CO2 equivalent),1996,175107.74
Denmark,Fuel combustion in transport,Methane (CO2 equivalent),1996,12163.87
Estonia,Fuel combustion in transport,Methane (CO2 equivalent),1996,1597.26
